tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo
28.735999999998608,1795,4,3,-1.679323618924405,0.8355064644667111,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.1874611187481803,0.5907922867496086,1.326310459365194,2.6799265358990496,0.24035071467071295,0.8,0.7,1.0,0.5990355260828317,1.6600639085386801,2.259099434621512,-0.40362663197188875,0.20081457584657464,0.9999999998,0.0,0.5,1.1634788623274942e-17,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.751999999998606,1796,4,3,-1.6407462659648875,0.8493290086279935,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.1601828108702785,0.6005663014593019,1.3064088322907823,2.663926535899045,0.23178975974745644,0.8,0.7,1.0,0.6106798824485051,1.5960241546388607,2.206704037087366,-0.38030818279453754,0.19686576685642798,0.9999999998,0.0,0.5,-5.255221170385232e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.767999999998604,1797,4,3,-1.6017986686289625,0.8619383285732961,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.1326427006831228,0.6094824370987761,1.28621472878467,2.6479265358990407,0.223199729420674,0.8,0.7,1.0,0.6214688411318636,1.5328794874107583,2.154348328542622,-0.3575210294243803,0.1923844017148677,0.9999999998,0.0,0.5,8.520782394143632e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.783999999998603,1798,4,3,-1.5625174569708544,0.8733229591637078,0.7071067811865476,0.7071067811865475,0.5,-1.1048666895464505,0.6175325865905601,1.2657317635149083,2.6319265358990362,0.21458170121250608,0.8,0.7,1.0,0.6313464955012277,1.470730401669333,2.102076897170561,-0.3352876540910447,0.1873991262852884,0.9999999998000002,0.0,0.5,-8.703776503571347e-18,0.49999999999999994,0.24999999999999994,1.0,0.5,0.49999999999999994,0.0,2.0000006378517816e-05,1.5707963267948963,1,analitico
28.7999999999986,1799,4,3,-1.5229396244759144,0.8834725409374842,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.0768809358046132,0.6247094246890047,1.244963620028588,2.6159265358990313,0.2059367561571106,0.8,0.7,1.0,0.6402618652952674,1.4096725498994196,2.049934415194687,-0.313629246087698,0.1819394692345456,0.9999999998,0.0,0.5,7.001861794563305e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.8159999999986,1800,4,3,-1.4831024944920943,0.8923778316545102,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.048711831050044,0.6310064161434514,1.2239140500045496,2.599926535899026,0.19726597866505957,0.8,0.7,1.0,0.6481690972142027,1.3497965045843363,1.997965601798539,-0.2925656650365741,0.17603578630033073,0.9999999998,0.0,0.5,1.911109707326651e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.831999999998597,1801,4,3,-1.4430436862951967,0.9000307168150469,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.0203859761277665,0.6364178231361088,1.2025868724892679,2.5839265358990207,0.18857045638731187,0.8,0.7,1.0,0.6550276456053035,1.2911875402782151,1.9462151858835186,-0.27211540651151417,0.16971920303241284,0.9999999998,0.0,0.5,9.210988232896919e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.847999999998596,1802,4,3,-1.4028010808194395,0.906424219141166,0.7071067811865476,0.7071067811865476,0.5000000000000001,-0.9919301569032438,0.6409387119864396,1.1809859731160781,2.567926535899015,0.17985128007878,0.8,0.7,1.0,0.6608024325228363,1.233925436174094,1.8947278686969302,-0.25229557008127235,0.16302155610694732,0.9999999998,0.0,0.5,4.837027802507438e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.863999999998594,1803,4,3,-1.362412786085231,0.9115525070102544,0.7071067811865475,0.7071067811865475,0.4999999999999999,-0.963371319816124,0.6445649591145487,1.1591153033079153,2.5519265358990086,0.17110954346150697,0.8,0.7,1.0,0.6654639865183399,1.1780842998442607,1.8435482863626005,-0.23312182983316365,0.15597533331571675,0.9999999998000002,0.0,0.49999999999999994,9.357574335904804e-18,0.49999999999999994,0.24999999999999994,0.9999999999999999,0.49999999999999994,0.49999999999999994,0.0,1.999999527628803e-05,1.5707963267948963,1,analitico
28.879999999998592,1804,4,3,-1.3219171023563954,0.9154109018309539,0.7071067811865476,0.7071067811865476,0.5000000000000001,-0.9347365472426785,0.6472932562567604,1.1369788794637499,2.5359265358990024,0.1623463430874713,0.8,0.7,1.0,0.6689885595954801,1.1237324127511643,1.7927209723466444,-0.2146084074323473,0.14861361233465956,0.9999999998,0.0,0.5,-7.314689583221058e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
